Stock Summary as on 31/08/2026,,,,,
Warehouse Location: Pune,,,,,
,,,,,
Item Name,Opening Stock,Quantity In,Quantity Out,Closing Stock,Purchase Account Name
FIN-6C-ARM-FOC-SM, 	-   , 	-   ," 	2,000.00 "," 	-2,000.00 ",Cost of Goods Sold
GIC-MA51BC, 	-   , 	2.00 , 	-   , 	2.00 ,Cost of Goods Sold
GPSO-25-0118_FULLY WIRED CABINET FOR SWITCH, 	-   , 	-   , 	5.00 , 	-5.00 ,Cost of Goods Sold
GPSO-25-0118_FULLY WIRED POLYCARBONATE CABINET FOR GATEWAY, 	-   , 	-   , 	18.00 , 	-18.00 ,Cost of Goods Sold
GPSO-25-0118_GRAY COLOR PVC TERMINAL BLOCK 0.75MM, 	-   , 	-   ," 	2,000.00 "," 	-2,000.00 ",Cost of Goods Sold
GPSO-25-0118_PVC TERMINAL BLOCK 1.5MM(RED AND BLACK SET), 	-   , 	-   , 	800.00 , 	-800.00 ,Cost of Goods Sold
GPSO-25-0118_SIMATIC ENERGY MANAGER BASIC/PRO, 	-   , 	-   , 	1.00 , 	-1.00 ,Cost of Goods Sold
GPSO-26-0033_PNEUMATICS, 	-   , 	-   , 	1.00 , 	-1.00 ,Cost of Goods Sold
GPSO-26-0033_SS PANEL, 	-   , 	-   , 	1.00 , 	-1.00 ,Cost of Goods Sold
IDE-AXIAL SLEEVE FAN 2.5'' 24VDC, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
IMM-HEATER 4.5KW 415V, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
IMM-HEATER 6 KW 415V, 	-   , 	2.00 , 	-   , 	2.00 ,Cost of Goods Sold
Installation Charges, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
JAN-A2C01, 	-   , 	3.00 , 	-   , 	3.00 ,Cost of Goods Sold
JAN-A2G02, 	-   , 	3.00 , 	-   , 	3.00 ,Cost of Goods Sold
JAN-ASB0161, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
JAN-DS244SR60W, 	-   , 	8.00 , 	2.00 , 	6.00 ,Cost of Goods Sold
JAN-FRC136134, 	-   , 	3.00 , 	-   , 	3.00 ,Cost of Goods Sold
JAN-FRC156334, 	-   , 	2.00 , 	-   , 	2.00 ,Cost of Goods Sold
JAN-GS152, 	-   , 	26.00 , 	-   , 	26.00 ,Cost of Goods Sold
JAN-M0510108, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
JAN-PS0101504A, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
JAN-WH00B06, 	-   , 	100.00 , 	-   , 	100.00 ,Cost of Goods Sold
JAN-WH00B10, 	-   , 	102.00 , 	-   , 	102.00 ,Cost of Goods Sold
JAN-WP2100606, 	-   , 	5.00 , 	-   , 	5.00 ,Cost of Goods Sold
JAN-WP2110650, 	-   , 	5.00 , 	-   , 	5.00 ,Cost of Goods Sold
JAN-WP2110651, 	-   , 	12.00 , 	-   , 	12.00 ,Cost of Goods Sold
JAN-WP2111053, 	-   , 	2.00 , 	-   , 	2.00 ,Cost of Goods Sold
JAN-WP2210650, 	-   , 	8.00 , 	-   , 	8.00 ,Cost of Goods Sold
JAN-WP2210652, 	-   , 	32.00 , 	-   , 	32.00 ,Cost of Goods Sold
JAN-WP2211051, 	-   , 	2.00 , 	-   , 	2.00 ,Cost of Goods Sold
JAN-WP2300606, 	-   , 	4.00 , 	-   , 	4.00 ,Cost of Goods Sold
JAN-WP2500606, 	-   , 	10.00 , 	-   , 	10.00 ,Cost of Goods Sold
JAN-WP2501010, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
KAY-KLS001XOA, 	-   , 	2.00 , 	-   , 	2.00 ,Cost of Goods Sold
L&T-WL411011OOOO, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
LAP-4510022U100, 	-   , 	400.00 , 	-   , 	400.00 ,Cost of Goods Sold
MIL-M130 SS316 METERING PUMP 50 LPH, 	-   , 	2.00 , 	-   , 	2.00 ,Cost of Goods Sold
OMR-MY2N 24V DC, 	-   , 	2.00 , 	-   , 	2.00 ,Cost of Goods Sold
OMR-S8VK-C12024, 	-   , 	7.00 , 	2.00 , 	5.00 ,Cost of Goods Sold
OMR-S8VK-C48024, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
PHO-2966171, 	-   , 	-   , 	8.00 , 	-8.00 ,Cost of Goods Sold
PHO-2966838, 	-   , 	5.00 , 	-   , 	5.00 ,Cost of Goods Sold
PHO-4*6 TUBE, 	-   , 	100.00 , 	-   , 	100.00 ,Cost of Goods Sold
PHO-NY-810, 	-   , 	35.00 , 	-   , 	35.00 ,Cost of Goods Sold
PLA-MGB-TLX, 	-   , 	6.00 , 	12.00 , 	-6.00 ,Cost of Goods Sold
POL-1C*6SQMM GREEN, 	-   , 	-   , 	400.00 , 	-400.00 ,Cost of Goods Sold
POL-3C*0.75SQMM, 	-   , 	800.00 , 	-   , 	800.00 ,Cost of Goods Sold
POL-3C*1.5SQMM SS BRADED, 	-   , 	-   ," 	1,700.00 "," 	-1,700.00 ",Cost of Goods Sold
POL-3CX0.75SQMM SS BRAIDED, 	-   , 	-   ," 	2,300.00 "," 	-2,300.00 ",Cost of Goods Sold
POL-4C*0.75SQMM, 	-   , 	800.00 , 	-   , 	800.00 ,Cost of Goods Sold
POL-5C*2.5SQMM CU FLEXIBLE, 	-   , 	10.00 , 	-   , 	10.00 ,Cost of Goods Sold
POL-FLEXIBLE WIRE 35SQMM BLACK, 	-   , 	5.00 , 	-   , 	5.00 ,Cost of Goods Sold
POL-FLEXIBLE WIRE 35SQMM BLUE, 	-   , 	5.00 , 	-   , 	5.00 ,Cost of Goods Sold
POL-FLEXIBLE WIRE 35SQMM RED, 	-   , 	5.00 , 	-   , 	5.00 ,Cost of Goods Sold
POL-FLEXIBLE WIRE 35SQMM YELLOW, 	-   , 	5.00 , 	-   , 	5.00 ,Cost of Goods Sold
PPI-AIME 8U, 	-   , 	2.00 , 	1.00 , 	1.00 ,Cost of Goods Sold
RAS-PI 4B, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
RAS-PI5, 	-   , 	2.00 , 	1.00 , 	1.00 ,Cost of Goods Sold
RAS-PI5 CASE, 	-   , 	2.00 , 	1.00 , 	1.00 ,Cost of Goods Sold
RAS-PI5 COOLER, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
SAL-61196, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
SCH-A9N4P25CGN, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
SEN-RTD 5x120MM SIMPLEX, 	-   , 	6.00 , 	3.00 , 	3.00 ,Cost of Goods Sold
SHA-H92G, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
SIE-3RA19211DA00, 	-   , 	5.00 , 	-   , 	5.00 ,Cost of Goods Sold
SIE-5SL42067RC, 	-   , 	5.00 , 	19.00 , 	-14.00 ,Cost of Goods Sold
SIE-5SL42107RC, 	-   , 	-   , 	15.00 , 	-15.00 ,Cost of Goods Sold
SIE-5SL42167RC, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
SIE-5SL42327RC, 	-   , 	-   , 	4.00 , 	-4.00 ,Cost of Goods Sold
SIE-6AV21542MB025LA0, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
SIE-6AV21570BQ025LB0, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
SIE-6AV21572EA000LB0, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
SIE-6AV63722DF070FH0, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
SIE-6AV63722DF270AH0, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
SIE-6ES71346GF000AA1, 	-   , 	2.00 , 	-   , 	2.00 ,Cost of Goods Sold
SIE-6ES71556AR010AN0, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
SIE-6ES72121AE400XB0, 	-   , 	16.00 , 	18.00 , 	-2.00 ,Cost of Goods Sold
SIE-6ES72314HF320XB0, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
SIE-6ES72411CH301XB0, 	-   , 	10.00 , 	18.00 , 	-8.00 ,Cost of Goods Sold
SIE-6ES79548LE040AA0, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
SIE-6GK52080BA002TB2, 	-   , 	-   , 	2.00 , 	-2.00 ,Cost of Goods Sold
SMC-AFG20-02-D, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
SMC-AN15-02, 	-   , 	2.00 , 	-   , 	2.00 ,Cost of Goods Sold
SMC-AW20-01G1-D, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
SMC-KQ2H06-U01A, 	-   , 	8.00 , 	-   , 	8.00 ,Cost of Goods Sold
SMC-KQ2H10-U01A, 	-   , 	2.00 , 	-   , 	2.00 ,Cost of Goods Sold
SMC-KQ2H10-U02A, 	-   , 	2.00 , 	-   , 	2.00 ,Cost of Goods Sold
SMC-PL-01, 	-   , 	8.00 , 	-   , 	8.00 ,Cost of Goods Sold
SMC-PL-02, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
SMC-SS5Y5-20-08, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
SMC-SY5120-5LZ-01, 	-   , 	8.00 , 	-   , 	8.00 ,Cost of Goods Sold
SMC-Y200T-D, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
"SMI-1-PH, TAPE WOUND CONTROL TRANSFARMER : 1000VA", 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
TEK-2AF3, 	-   , 	5.00 , 	-   , 	5.00 ,Cost of Goods Sold
TEK-2AF4, 	-   , 	5.00 , 	-   , 	5.00 ,Cost of Goods Sold
TEK-2AF8, 	-   , 	7.00 , 	1.00 , 	6.00 ,Cost of Goods Sold
TEK-2AML4, 	-   , 	6.00 , 	-   , 	6.00 ,Cost of Goods Sold
TEK-2AS22P, 	-   , 	6.00 , 	-   , 	6.00 ,Cost of Goods Sold
TEK-3EPLBR3L, 	-   , 	5.00 , 	-   , 	5.00 ,Cost of Goods Sold
TEK-3PLBR4LBZ, 	-   , 	5.00 , 	1.00 , 	4.00 ,Cost of Goods Sold
TEK-3PLBR6L, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
TEK-3PLBR6L240, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
TEK-3PLBR8L, 	-   , 	2.00 , 	-   , 	2.00 ,Cost of Goods Sold
TEL-TSW010, 	-   , 	4.00 , 	1.00 , 	3.00 ,Cost of Goods Sold
TEL-TSW030, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
TEL-TSW210, 	-   , 	-   , 	10.00 , 	-10.00 ,Cost of Goods Sold
TRI-011703888, 	-   , 	20.00 , 	-   , 	20.00 ,Cost of Goods Sold
TRI-ABS BOX 560X380X180, 	-   , 	2.00 , 	1.00 , 	1.00 ,Cost of Goods Sold
TUD-EPDM HOSE PIPE 51MM, 	-   , 	-   , 	4.00 , 	-4.00 ,Cost of Goods Sold
UB-ACTUATED BFV SS304 25MM WITH SMS UNION, 	-   , 	-   , 	1.00 , 	-1.00 ,Cost of Goods Sold
UB-BALL VALVE 1/2'', 	-   , 	5.00 , 	-   , 	5.00 ,Cost of Goods Sold
UB-BATTERY LUG 1.5SQMM, 	-   , 	6.00 , 	-   , 	6.00 ,Cost of Goods Sold
UB-CABLE TIE 100MM, 	-   , 	10.00 , 	-   , 	10.00 ,Cost of Goods Sold
UB-DAIRY POLISHED BEND 101MM, 	-   , 	8.00 , 	-   , 	8.00 ,Cost of Goods Sold
UB-DAIRY POLISHED BEND 25MM, 	-   , 	2.00 , 	-   , 	2.00 ,Cost of Goods Sold
UB-DAIRY POLISHED BEND 51MM, 	-   , 	110.00 , 	-   , 	110.00 ,Cost of Goods Sold
UB-DAIRY POLISHED BEND 63MM, 	-   , 	10.00 , 	-   , 	10.00 ,Cost of Goods Sold
UB-DAIRY POLISHED PIPE 101MM, 	-   , 	24.00 , 	-   , 	24.00 ,Cost of Goods Sold
UB-DAIRY POLISHED PIPE 152x3MM THK, 	-   , 	72.80 , 	-   , 	72.80 ,Cost of Goods Sold
UB-DAIRY POLISHED PIPE 25MM, 	-   , 	12.20 , 	-   , 	12.20 ,Cost of Goods Sold
UB-DAIRY POLISHED PIPE 63MM, 	-   , 	18.10 , 	-   , 	18.10 ,Cost of Goods Sold
UB-DAIRY POLISHED TEE 25MM, 	-   , 	3.00 , 	-   , 	3.00 ,Cost of Goods Sold
UB-DAIRY POLISHED TEE 63MM, 	-   , 	25.00 , 	-   , 	25.00 ,Cost of Goods Sold
UB-FLEXIBLE PIPE 25MM, 	-   , 	25.00 , 	-   , 	25.00 ,Cost of Goods Sold
UB-GLASS FUSE 2A, 	-   , 	100.00 , 	-   , 	100.00 ,Cost of Goods Sold
UB-HR SS304 PLATE, 	-   , 	11.18 , 	-   , 	11.18 ,Cost of Goods Sold
UB-HR SS304 PLATE 3MM THK, 	-   , 	18.20 , 	-   , 	18.20 ,Cost of Goods Sold
UB-INLINE FILTER 100X51MM, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
UB-INSULATION TAPE, 	-   , 	20.00 , 	100.00 , 	-80.00 ,Cost of Goods Sold
UB-JUNCTION BOX 300X300X250, 	-   , 	-   , 	5.00 , 	-5.00 ,Cost of Goods Sold
UB-JUNCTION BOX 500MMX500MMX250MM, 	-   , 	2.00 , 	-   , 	2.00 ,Cost of Goods Sold
