Stock Summary as on 31/08/2026,,,,,
Warehouse Location: Pune,,,,,
,,,,,
Item Name,Opening Stock,Quantity In,Quantity Out,Closing Stock,Purchase Account Name
UB-SS304 NIDDLE VALVE 1/2'', 	-   , 	2.00 , 	-   , 	2.00 ,Cost of Goods Sold
UB-SS304 NRV 25MM, 	-   , 	2.00 , 	-   , 	2.00 ,Cost of Goods Sold
UB-SS304 PLATE 1010x1010x5MM THK, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
UB-SS304 PUMP 0.5HP, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
UB-SS304 REDUCER 63X38MM, 	-   , 	2.00 , 	-   , 	2.00 ,Cost of Goods Sold
UB-SS304 REDUCER CONE 101X76MM, 	-   , 	2.00 , 	-   , 	2.00 ,Cost of Goods Sold
UB-SS304 REDUCER CONE 25X15MM, 	-   , 	4.00 , 	-   , 	4.00 ,Cost of Goods Sold
UB-SS304 REDUCER CONE 63X51MM, 	-   , 	5.00 , 	-   , 	5.00 ,Cost of Goods Sold
UB-SS304 REDUCER CONE 76X63MM, 	-   , 	4.00 , 	-   , 	4.00 ,Cost of Goods Sold
UB-SS304 REDUCER TEE 100 X 63MM, 	-   , 	15.00 , 	-   , 	15.00 ,Cost of Goods Sold
UB-SS304 REDUCER TEE 101x25 MM, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
UB-SS304 REDUCER TEE 152X63MM, 	-   , 	18.00 , 	-   , 	18.00 ,Cost of Goods Sold
UB-SS304 REDUCER TEE 38X25MM, 	-   , 	2.00 , 	-   , 	2.00 ,Cost of Goods Sold
UB-SS304 REDUCER TEE 51X25MM, 	-   , 	2.00 , 	-   , 	2.00 ,Cost of Goods Sold
UB-SS304 REDUCER TEE 63 X 51MM, 	-   , 	4.00 , 	-   , 	4.00 ,Cost of Goods Sold
UB-SS304 SCHEDULE BEND 2'', 	-   , 	15.00 , 	-   , 	15.00 ,Cost of Goods Sold
UB-SS304 SCHEDULE PIPE 2'', 	-   , 	83.90 , 	-   , 	83.90 ,Cost of Goods Sold
UB-SS304 SCHEDULE TEE 2'', 	-   , 	6.00 , 	-   , 	6.00 ,Cost of Goods Sold
UB-SS304 SMS UNION 152MM, 	-   , 	8.00 , 	-   , 	8.00 ,Cost of Goods Sold
UB-SS304 SMS UNION 25 MM, 	-   , 	13.00 , 	-   , 	13.00 ,Cost of Goods Sold
UB-SS304 SMS UNION 38MM, 	-   , 	4.00 , 	-   , 	4.00 ,Cost of Goods Sold
UB-SS304 SMS UNION 51MM, 	-   , 	43.00 , 	20.00 , 	23.00 ,Cost of Goods Sold
UB-SS304 SMS UNION 63MM, 	-   , 	38.00 , 	-   , 	38.00 ,Cost of Goods Sold
UB-SS304 SMS UNION 63MM, 	-   , 	4.00 , 	-   , 	4.00 ,Cost of Goods Sold
UB-SS304 SPRAY BALL 1/2'', 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
UB-SS304 STRIP 25x5MM THK, 	-   , 	5.80 , 	-   , 	5.80 ,Cost of Goods Sold
UB-SS304 TC CLAMP 152MM WITH UNION AND GASKET, 	-   , 	4.00 , 	-   , 	4.00 ,Cost of Goods Sold
UB-SS304 TC CLAMP 51MM WITH UNION AND GASKET, 	-   , 	2.00 , 	-   , 	2.00 ,Cost of Goods Sold
UB-SS304 THERMOWELL SOCKET 1/2''X63MM, 	-   , 	5.00 , 	-   , 	5.00 ,Cost of Goods Sold
UB-SS304 THERMOWELL SOCKET 1/2''X76MM, 	-   , 	2.00 , 	-   , 	2.00 ,Cost of Goods Sold
UB-SS316 BEND 25MM, 	-   , 	6.00 , 	-   , 	6.00 ,Cost of Goods Sold
UB-SS316 CORRUGATED HOSE PIPE 25MM WITH SMS UNION, 	-   , 	4.00 , 	-   , 	4.00 ,Cost of Goods Sold
UB-SS316 SAMPLING COCK 1/2'' BSP, 	-   , 	4.00 , 	-   , 	4.00 ,Cost of Goods Sold
UB-SS316 SMS UNION 25MM, 	-   , 	8.00 , 	-   , 	8.00 ,Cost of Goods Sold
UB-TAG PLATES TREFOLITE 70X20MM, 	-   , 	328.00 , 	-   , 	328.00 ,Cost of Goods Sold
UB-TRI CLOVER GASKET NYLON 51 MM, 	-   , 	2.00 , 	-   , 	2.00 ,Cost of Goods Sold
UB-WOODEN BOX 57''X30''X96'', 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
UB-WOODEN BOX 800x500x1150, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
UB-WOODEN BOX 850x750x275MM, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
"UB-WOODEN PLATEFORM 60""x7""x14""", 	-   , 	8.00 , 	-   , 	8.00 ,Cost of Goods Sold
UB-WOODEN SADDLE 177DIAx125CH MM, 	-   , 	4.00 , 	-   , 	4.00 ,Cost of Goods Sold
WAV-HDMI LCD 10'', 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
